year,date,revenue
2014,2014-01-01,12928.258796999999
2014,2014-01-02,15084.100067999998
2014,2014-01-03,14423.363162999998
2014,2014-01-04,14084.232049999999
2014,2014-01-05,12343.448452999999
2014,2014-01-06,14129.756610000002
2014,2014-01-07,14125.260040000001
2014,2014-01-08,14135.524136
2014,2014-01-09,14136.670625999997
2014,2014-01-10,13709.239428999997
2014,2014-01-11,15073.514661999998
2014,2014-01-12,13546.265221999998
2014,2014-01-13,15661.403998
2014,2014-01-14,14722.672513999998
2014,2014-01-15,14128.818290999998
2014,2014-01-16,13665.884597999999
2014,2014-01-17,13946.99253
2014,2014-01-18,13907.543094999997
2014,2014-01-19,13637.192881
2014,2014-01-20,15247.507822000001
2014,2014-01-21,13403.520704000004
2014,2014-01-22,13338.076817
2014,2014-01-23,13373.300002999998
2014,2014-01-24,13962.745557
2014,2014-01-25,14120.609370999997
2014,2014-01-26,12736.821581999999
2014,2014-01-27,14330.771044000001
2014,2014-01-28,13720.006026999998
2014,2014-01-29,13726.989557999997
2014,2014-01-30,13362.159080999996
2014,2014-01-31,11953.323461
2014,2014-02-01,14796.209713999997
2014,2014-02-02,13331.499445000001
2014,2014-02-03,16132.615562999998
2014,2014-02-04,15089.850117999997
2014,2014-02-05,14184.101730999997
2014,2014-02-06,14548.803133000001
2014,2014-02-07,15505.795294999998
2014,2014-02-08,16726.528739999994
2014,2014-02-09,15334.289243000001
2014,2014-02-10,17127.952416999993
2014,2014-02-11,16631.773252000003
2014,2014-02-12,16338.238463999995
2014,2014-02-13,15952.198036999998
2014,2014-02-14,16000.625596
2014,2014-02-15,18248.002769000002
2014,2014-02-16,16361.159574999998
2014,2014-02-17,19618.981699999997
2014,2014-02-18,17452.479976999995
2014,2014-02-19,16715.006015999996
2014,2014-02-20,16715.266885999994
2014,2014-02-21,17277.908374
2014,2014-02-22,17115.437787999996
2014,2014-02-23,15942.705826
2014,2014-02-24,18224.690855
2014,2014-02-25,17357.336926999997
2014,2014-02-26,16465.339043999997
2014,2014-02-27,15677.598677999995
2014,2014-02-28,15090.388374
2014,2014-03-01,16221.994591000002
2014,2014-03-02,15259.273681000002
2014,2014-03-03,16641.124677
2014,2014-03-04,16299.584764000003
2014,2014-03-05,15894.816823999998
2014,2014-03-06,16901.696464999997
2014,2014-03-07,16218.645342999998
2014,2014-03-08,17671.962103999995
2014,2014-03-09,15994.592318999996
2014,2014-03-10,19573.891773
2014,2014-03-11,17561.689243
2014,2014-03-12,17264.752289999997
2014,2014-03-13,17658.029690999996
2014,2014-03-14,17303.210672999998
2014,2014-03-15,17565.099220000004
2014,2014-03-16,16243.934487999997
2014,2014-03-17,17841.656148000002
2014,2014-03-18,17256.385652
2014,2014-03-19,20423.856204
2014,2014-03-20,17994.847520999996
2014,2014-03-21,15393.914818999998
2014,2014-03-22,14809.709831999999
2014,2014-03-23,13748.509068000003
2014,2014-03-24,16114.020358
2014,2014-03-25,15239.402025
2014,2014-03-26,14399.941516000003
2014,2014-03-27,14943.298003000002
2014,2014-03-28,15103.26807
2014,2014-03-29,15900.164222999996
2014,2014-03-30,14367.018116
2014,2014-03-31,13736.760813999997
2014,2014-04-01,16743.371014999997
2014,2014-04-02,16099.2434524999
2014,2014-04-03,15732.099313000004
2014,2014-04-04,15835.330801000002
2014,2014-04-05,15551.802394999999
2014,2014-04-06,14043.945024
2014,2014-04-07,19087.328768
2014,2014-04-08,18072.580377
2014,2014-04-09,17757.382118
2014,2014-04-10,16747.579332000005
2014,2014-04-11,16849.728983000005
2014,2014-04-12,16787.612778
2014,2014-04-13,16126.384848999998
2014,2014-04-14,19743.512372
2014,2014-04-15,18920.202957999998
2014,2014-04-16,18034.83006
2014,2014-04-17,17378.455145000004
2014,2014-04-18,17820.698025
2014,2014-04-19,16818.941292000003
2014,2014-04-20,14304.839993
2014,2014-04-21,20254.097520000003
2014,2014-04-22,20599.257322000005
2014,2014-04-23,18659.511682999993
2014,2014-04-24,18531.094729
2014,2014-04-25,18361.840038999995
2014,2014-04-26,17535.795324
2014,2014-04-27,16830.808542
2014,2014-04-28,18944.603592
2014,2014-04-29,16686.072082
2014,2014-04-30,14060.499187999998
2014,2014-05-01,15915.928494999996
2014,2014-05-02,15699.644915
2014,2014-05-03,15347.011699999997
2014,2014-05-04,13746.504570000001
2014,2014-05-05,18643.991234
2014,2014-05-06,18171.671635999995
2014,2014-05-07,17843.027643
2014,2014-05-08,17537.802593
2014,2014-05-09,16811.591041
2014,2014-05-10,16635.232648999998
2014,2014-05-11,14778.706914999999
2014,2014-05-12,19955.087283999997
2014,2014-05-13,20495.311766
2014,2014-05-14,19589.918359999996
2014,2014-05-15,18929.127826
2014,2014-05-16,18024.739474
2014,2014-05-17,17169.396268999997
2014,2014-05-18,16507.182205
2014,2014-05-19,20233.508891999994
2014,2014-05-20,19534.938793999998
2014,2014-05-21,19305.145520000005
2014,2014-05-22,19166.504578
2014,2014-05-23,18906.359004999991
2014,2014-05-24,18244.70135
2014,2014-05-25,16129.845999
2014,2014-05-26,19487.718430999998
2014,2014-05-27,21442.904332499889
2014,2014-05-28,19601.184129000005
2014,2014-05-29,17996.063552999996
2014,2014-05-30,16836.043174999995
2014,2014-05-31,14198.748600999998
2014,2014-06-01,15302.355473000003
2014,2014-06-02,19837.015507
2014,2014-06-03,18987.623233
2014,2014-06-04,18330.954264999997
2014,2014-06-05,17665.992511999997
2014,2014-06-06,16840.256189999996
2014,2014-06-07,16409.524008215296
2014,2014-06-08,15157.584513
2014,2014-06-09,20567.712404999995
2014,2014-06-10,19896.557850999998
2014,2014-06-11,18963.6600088195
2014,2014-06-12,18364.867864999997
2014,2014-06-13,18203.050075999996
2014,2014-06-14,18156.346777999996
2014,2014-06-15,16438.792675999997
2014,2014-06-16,19913.581687
2014,2014-06-17,20364.765040000002
2014,2014-06-18,20369.705641
2014,2014-06-19,19953.386337
2014,2014-06-20,19299.028853000003
2014,2014-06-21,19200.559659000006
2014,2014-06-22,18101.735044
2014,2014-06-23,21875.4610777054
2014,2014-06-24,20931.849066999996
2014,2014-06-25,20361.480347161298
2014,2014-06-26,19912.031483999996
2014,2014-06-27,20161.420524999998
2014,2014-06-28,19533.674687996892
2014,2014-06-29,17961.016512054608
2014,2014-06-30,18268.515128000003
2014,2014-07-01,19945.543021000005
2014,2014-07-02,20202.301723999997
2014,2014-07-03,18770.412932000003
2014,2014-07-04,16689.801172000003
2014,2014-07-05,18959.275547470294
2014,2014-07-06,17668.615120846298
2014,2014-07-07,23025.808286279396
2014,2014-07-08,21525.826672
2014,2014-07-09,20180.56673
2014,2014-07-10,19260.581695999997
2014,2014-07-11,18931.387831999997
2014,2014-07-12,18429.490522999997
2014,2014-07-13,17249.959363
2014,2014-07-14,22029.462413
2014,2014-07-15,20674.503355000004
2014,2014-07-16,20348.493029
2014,2014-07-17,19171.787951000002
2014,2014-07-18,18927.475446999997
2014,2014-07-19,18806.983463999997
2014,2014-07-20,17571.1116
2014,2014-07-21,21206.323945
2014,2014-07-22,20736.016867000002
2014,2014-07-23,20070.862121999995
2014,2014-07-24,18596.246021
2014,2014-07-25,18331.588796999997
2014,2014-07-26,17787.230779
2014,2014-07-27,16065.160650000002
2014,2014-07-28,19384.267696000003
2014,2014-07-29,18247.295288
2014,2014-07-30,17092.348718999998
2014,2014-07-31,14487.763064999996
2014,2014-08-01,17754.584115999998
2014,2014-08-02,17287.055901999996
2014,2014-08-03,15787.837597999996
2014,2014-08-04,19914.767133999998
2014,2014-08-05,19158.07343
2014,2014-08-06,18639.186526
2014,2014-08-07,18745.786580000004
2014,2014-08-08,18958.388757
2014,2014-08-09,18663.193310000002
2014,2014-08-10,17189.565046
2014,2014-08-11,22071.290467999996
2014,2014-08-12,20416.103667
2014,2014-08-13,20628.109687
2014,2014-08-14,19288.831332000005
2014,2014-08-15,19582.801645000003
2014,2014-08-16,19725.190998
2014,2014-08-17,17491.658926
2014,2014-08-18,22348.532166
2014,2014-08-19,21626.854647
2014,2014-08-20,20994.343514
2014,2014-08-21,21512.101468
2014,2014-08-22,20920.225190999998
2014,2014-08-23,21034.685234
2014,2014-08-24,17419.658416000002
2014,2014-08-25,22396.293590999998
2014,2014-08-26,21221.588949999998
2014,2014-08-27,20021.700412
2014,2014-08-28,19375.778285
2014,2014-08-29,20025.241961
2014,2014-08-30,19591.635655000002
2014,2014-08-31,14963.021079000002
2014,2014-09-01,19982.921173000002
2014,2014-09-02,20287.909067999997
2014,2014-09-03,19326.621865999998
2014,2014-09-04,19493.322497999998
2014,2014-09-05,19155.350406
2014,2014-09-06,20009.076951
2014,2014-09-07,18029.216504
2014,2014-09-08,22145.36155799999
2014,2014-09-09,20235.450043
2014,2014-09-10,20564.919375999998
2014,2014-09-11,20051.757055000002
2014,2014-09-12,20228.619622999995
2014,2014-09-13,20550.187258999995
2014,2014-09-14,17720.483884999998
2014,2014-09-15,22758.389712000007
2014,2014-09-16,21393.447862000005
2014,2014-09-17,20907.919178999997
2014,2014-09-18,20614.833495999996
2014,2014-09-19,20728.082545999994
2014,2014-09-20,21366.085306000004
2014,2014-09-21,19116.847942999997
2014,2014-09-22,23692.371592000003
2014,2014-09-23,22118.028472000009
2014,2014-09-24,21592.973445000003
2014,2014-09-25,21587.745629000005
2014,2014-09-26,21375.562658
2014,2014-09-27,21054.771757000006
2014,2014-09-28,19678.386330999998
2014,2014-09-29,22912.041363
2014,2014-09-30,18823.045636000003
2014,2014-10-01,20268.451405
2014,2014-10-02,20305.645703
2014,2014-10-03,19921.935690000002
2014,2014-10-04,19845.428593
2014,2014-10-05,17884.583898000004
2014,2014-10-06,21407.817358
2014,2014-10-07,21528.042873
2014,2014-10-08,21437.514816000003
2014,2014-10-09,20996.973848999998
2014,2014-10-10,20656.276013
2014,2014-10-11,20805.053491
2014,2014-10-12,18418.594993999995
2014,2014-10-13,24465.715011999997
2014,2014-10-14,22117.048681
2014,2014-10-15,22497.951767
2014,2014-10-16,21133.645878
2014,2014-10-17,20526.625230999998
2014,2014-10-18,20885.450974
2014,2014-10-19,19050.109887
2014,2014-10-20,23759.378552000002
2014,2014-10-21,22496.756940000003
2014,2014-10-22,22148.572503000003
2014,2014-10-23,20927.754354000004
2014,2014-10-24,20343.779057
2014,2014-10-25,20491.753008
2014,2014-10-26,18938.159983999998
2014,2014-10-27,23672.207219999997
2014,2014-10-28,21996.034114000002
2014,2014-10-29,21301.379037999988
2014,2014-10-30,19943.462187999998
2014,2014-10-31,16706.619758999997
2014,2014-11-01,19960.967090999995
2014,2014-11-02,19058.704091
2014,2014-11-03,22362.140972999998
2014,2014-11-04,20959.707715999997
2014,2014-11-05,21900.189930999997
2014,2014-11-06,21995.456812999993
2014,2014-11-07,22140.729900999995
2014,2014-11-08,22990.913703000002
2014,2014-11-09,20102.032348999994
2014,2014-11-10,25611.021857999996
2014,2014-11-11,25046.108483
2014,2014-11-12,23868.000808
2014,2014-11-13,25338.632661999996
2014,2014-11-14,23398.262575999997
2014,2014-11-15,22930.260969999996
2014,2014-11-16,21221.264985999995
2014,2014-11-17,25086.046619000008
2014,2014-11-18,23305.144404000002
2014,2014-11-19,23069.715071000002
2014,2014-11-20,22296.099923
2014,2014-11-21,22437.004755999995
2014,2014-11-22,23232.835509
2014,2014-11-23,20860.053478
2014,2014-11-24,24334.665186
2014,2014-11-25,22187.946316999994
2014,2014-11-26,21335.929399999997
2014,2014-11-27,18406.346316
2014,2014-11-28,24740.547377000003
2014,2014-11-29,22061.623270999993
2014,2014-11-30,19374.903583
2014,2014-12-01,22166.302771000002
2014,2014-12-02,22554.653337000003
2014,2014-12-03,21106.836299
2014,2014-12-04,20468.902262
2014,2014-12-05,21117.114966999994
2014,2014-12-06,21073.945291
2014,2014-12-07,19224.053734
2014,2014-12-08,22634.307566
2014,2014-12-09,21131.689828
2014,2014-12-10,21174.928359000005
2014,2014-12-11,21054.269537
2014,2014-12-12,20833.359686000003
2014,2014-12-13,21674.981242
2014,2014-12-14,19332.285615999994
2014,2014-12-15,22815.273648000002
2014,2014-12-16,21974.335227
2014,2014-12-17,21960.233716000002
2014,2014-12-18,21807.691499
2014,2014-12-19,21661.356344
2014,2014-12-20,22276.662734999998
2014,2014-12-21,20193.364643999997
2014,2014-12-22,23715.039753
2014,2014-12-23,21672.595655999998
2014,2014-12-24,17394.961706000002
2014,2014-12-25,16933.938857999998
2014,2014-12-26,26910.360913999993
2014,2014-12-27,26965.329442000002
2014,2014-12-28,25618.805514999993
2014,2014-12-29,28537.832275
2014,2014-12-30,26200.077188000003
